/media/ubuntu/D/GHF_pycode/Mapper_a_critic_c/0/train.py

Namespace(agent_type=0, agents=175, attend_heads=4, critic_hidden_dim=1400, critic_model_dir='critic_weights', entropy_weight=0.01, exp=1, gamma=0.99, goal_range=6, interval=100, load=False, lr=0.0003, map='60_65_hard', map_dir='map', model_dir='weights', name=None, num_updates=4, obs=30, pi_lr=0.001, pol_hidden_dim=128, q_lr=0.0001, render=False, reward_scale=20.0, seed=9527, sub_num_agent=15, tau=0.001, train=True)

Device: cuda:0

Environments loaded

Exp 1 | Agent 0 | Epi 106 | succ rate 0.26| avg reward -121.60| collision 0.92| extra 16.09| max reward -139.02| L -92.436 | eL 262.270 | aL -142.729 | cL 10000000.000
Exp 1 | Agent 0 | Epi 107 | succ rate 0.21| avg reward -95.87| collision 0.90| extra 14.18| max reward -87.68| L -68.172 | eL 192.227 | aL -84.890 | cL 10000000.000
Exp 1 | Agent 0 | Epi 108 | succ rate 0.30| avg reward -143.35| collision 0.94| extra 20.18| max reward -226.97| L -83.920 | eL 314.253 | aL -112.966 | cL 10000000.000
Exp 1 | Agent 0 | Epi 109 | succ rate 0.37| avg reward -157.45| collision 0.94| extra 21.27| max reward -150.50| L 74.383 | eL 10.899 | aL 65.964 | cL 10000000.000
Exp 1 | Agent 0 | Epi 110 | succ rate 0.31| avg reward -171.76| collision 0.89| extra 20.44| max reward 4.73| L 29.470 | eL 39.233 | aL 27.664 | cL 10000000.000
Exp 1 | Agent 0 | Epi 111 | succ rate 0.34| avg reward -149.44| collision 0.86| extra 18.36| max reward -195.55| L 63.363 | eL 13.109 | aL 56.355 | cL 10000000.000
Exp 1 | Agent 0 | Epi 112 | succ rate 0.26| avg reward -185.00| collision 0.94| extra 21.83| max reward 1.92| L 28.850 | eL 52.377 | aL 26.743 | cL 10000000.000
Exp 1 | Agent 0 | Epi 113 | succ rate 0.32| avg reward -165.46| collision 0.91| extra 21.19| max reward 20.29| L -6.816 | eL 144.168 | aL -11.314 | cL 10000000.000
Exp 1 | Agent 0 | Epi 114 | succ rate 0.34| avg reward -164.21| collision 0.90| extra 22.58| max reward -134.88| L 65.015 | eL 8.744 | aL 58.541 | cL 10000000.000
Exp 1 | Agent 0 | Epi 115 | succ rate 0.33| avg reward -156.24| collision 0.87| extra 20.81| max reward -34.53| L -75.961 | eL 350.083 | aL -94.309 | cL 10000000.000
Exp 1 | Agent 0 | Epi 116 | succ rate 0.34| avg reward -147.76| collision 0.90| extra 21.87| max reward -28.56| L -102.413 | eL 314.914 | aL -172.691 | cL 10000000.000
Exp 1 | Agent 0 | Epi 117 | succ rate 0.32| avg reward -159.52| collision 0.91| extra 20.26| max reward -339.05| L -89.422 | eL 350.446 | aL -122.894 | cL 10000000.000
Exp 1 | Agent 0 | Epi 118 | succ rate 0.29| avg reward -167.51| collision 0.90| extra 23.87| max reward -205.62| L -94.622 | eL 359.255 | aL -143.284 | cL 10000000.000
Exp 1 | Agent 0 | Epi 119 | succ rate 0.33| avg reward -134.42| collision 0.89| extra 19.87| max reward -127.32| L 72.438 | eL 2.190 | aL 63.467 | cL 10000000.000
Exp 1 | Agent 0 | Epi 120 | succ rate 0.27| avg reward -177.83| collision 0.91| extra 23.88| max reward -170.35| L -58.534 | eL 181.931 | aL -87.135 | cL 10000000.000
Exp 1 | Agent 0 | Epi 121 | succ rate 0.28| avg reward -183.00| collision 0.94| extra 23.65| max reward -169.21| L -35.411 | eL 262.963 | aL -44.680 | cL 10000000.000
Exp 1 | Agent 0 | Epi 122 | succ rate 0.26| avg reward -157.90| collision 0.90| extra 21.19| max reward 16.67| L -96.610 | eL 324.603 | aL -143.358 | cL 10000000.000
Exp 1 | Agent 0 | Epi 123 | succ rate 0.30| avg reward -131.12| collision 0.91| extra 19.27| max reward -49.65| L -73.908 | eL 289.555 | aL -92.935 | cL 10000000.000
Exp 1 | Agent 0 | Epi 124 | succ rate 0.32| avg reward -152.27| collision 0.89| extra 19.94| max reward -131.63| L -90.044 | eL 350.986 | aL -125.994 | cL 10000000.000
Exp 1 | Agent 0 | Epi 125 | succ rate 0.23| avg reward -143.39| collision 0.95| extra 18.31| max reward -0.70| L -79.550 | eL 289.269 | aL -108.067 | cL 10000000.000
Exp 1 | Agent 0 | Epi 126 | succ rate 0.32| avg reward -142.48| collision 0.94| extra 18.65| max reward -173.14| L -102.999 | eL 315.494 | aL -172.645 | cL 10000000.000
Exp 1 | Agent 0 | Epi 127 | succ rate 0.30| avg reward -181.02| collision 0.93| extra 23.29| max reward -241.81| L 19.152 | eL 72.329 | aL 17.286 | cL 10000000.000
Exp 1 | Agent 0 | Epi 128 | succ rate 0.34| avg reward -160.12| collision 0.91| extra 19.18| max reward -187.97| L -88.091 | eL 359.465 | aL -132.547 | cL 10000000.000
Exp 1 | Agent 0 | Epi 129 | succ rate 0.33| avg reward -165.28| collision 0.90| extra 20.56| max reward -306.68| L -98.250 | eL 368.167 | aL -167.857 | cL 10000000.000
Exp 1 | Agent 0 | Epi 130 | succ rate 0.29| avg reward -192.29| collision 0.93| extra 23.43| max reward -205.34| L 53.456 | eL 24.114 | aL 48.485 | cL 10000000.000
