exp,type,update,success_rate,avg_reward,collision,extra,max_reward,loss,entropy,actor_loss,critic_loss
0,0,88,0.2742857142857143,-205.31024210248674,0.9485714285714286,24.675167907104903,-12.349725723266602,-91.0015869140625,382.3088684082031,-151.69790649414062,10000000.0
0,0,89,0.30857142857142855,-179.47946605682372,0.9085714285714286,22.427206115688396,-385.0850524902344,-78.7341537475586,359.1318054199219,-109.19961547851562,10000000.0
0,0,90,0.28,-151.82484493800573,0.9542857142857143,19.60903030836546,-193.49917602539062,-80.42176055908203,284.7183532714844,-114.06552124023438,10000000.0
0,0,91,0.32,-165.95849400111607,0.9028571428571428,20.01646103936766,-66.18553161621094,55.9444580078125,12.284063339233398,49.19602584838867,10000000.0
0,0,92,0.28,-105.9671917452131,0.9428571428571428,16.354264930214512,-171.2978515625,-57.11652755737305,212.8622283935547,-70.79690551757812,10000000.0
0,0,93,0.26285714285714284,-163.65842895507814,0.9428571428571428,21.6121310797997,-269.6790466308594,-85.67720031738281,311.5260314941406,-128.1492919921875,10000000.0
0,0,94,0.3485714285714286,-151.03950727735247,0.9257142857142857,20.112923552415875,-90.08944702148438,-80.23661804199219,311.9063415527344,-111.82368469238281,10000000.0
0,0,95,0.33714285714285713,-177.32698008401053,0.8857142857142857,23.71910457745752,-231.05455017089844,-69.63970947265625,353.9549255371094,-91.64173126220703,10000000.0
0,0,96,0.2857142857142857,-150.5970382799421,0.92,17.329972523823244,-220.0779571533203,-92.65670776367188,286.57598876953125,-159.5550994873047,10000000.0
0,0,97,0.2857142857142857,-188.57279420035226,0.9085714285714286,25.077897117285122,28.762893676757812,-89.0340805053711,355.2685241699219,-210.16580200195312,10000000.0
0,0,98,0.2742857142857143,-147.4679954801287,0.9257142857142857,19.859030094474896,-271.36614990234375,-83.5262451171875,286.98895263671875,-197.64892578125,10000000.0
0,0,99,0.3142857142857143,-165.15263269696916,0.9028571428571428,22.145614368499803,-158.1470947265625,-77.41255187988281,338.857177734375,-108.79100799560547,10000000.0
0,0,100,0.32571428571428573,-152.93607582092284,0.8971428571428571,21.082369015000598,-226.7290496826172,-81.62306213378906,329.5450744628906,-118.20832061767578,10000000.0
0,0,101,0.32,-137.57363800593785,0.9028571428571428,18.320983783723282,26.412893295288086,-12.296411514282227,103.28878021240234,-14.040571212768555,10000000.0
0,0,102,0.32571428571428573,-163.0927068219866,0.92,22.899619738904903,-61.168174743652344,-87.52007293701172,345.5008850097656,-153.70159912109375,10000000.0
0,0,103,0.3142857142857143,-184.48630667550222,0.92,23.639294801396034,-216.38609313964844,-62.513633728027344,363.9437255859375,-80.73697662353516,10000000.0
0,0,104,0.3028571428571429,-182.2492835017613,0.9028571428571428,23.888023567321667,-235.27615356445312,-78.39083099365234,359.8883361816406,-163.26556396484375,10000000.0
0,0,105,0.29714285714285715,-146.85284308297292,0.9257142857142857,20.278259748835787,-230.84222412109375,-58.063385009765625,296.108642578125,-239.8501434326172,10000000.0
0,0,106,0.26857142857142857,-167.4819280896868,0.9142857142857143,21.83908831747088,-236.4130401611328,-70.8135986328125,337.793701171875,-94.43496704101562,10000000.0
0,0,107,0.2571428571428571,-138.84859486171177,0.9028571428571428,18.772512594579485,-139.6779022216797,-95.71880340576172,278.96563720703125,-164.48617553710938,10000000.0
0,0,108,0.26857142857142857,-151.22916405814036,0.8914285714285715,17.88150460281689,-164.02882385253906,-7.3774614334106445,155.68292236328125,-10.236586570739746,10000000.0
0,0,109,0.28,-156.53279781341553,0.8857142857142857,22.703085588367763,-198.1803741455078,-89.754638671875,327.5897521972656,-184.32278442382812,10000000.0
0,0,110,0.2914285714285714,-186.87906244550433,0.9542857142857143,26.31110292042225,-229.25035095214844,-82.40476989746094,368.944091796875,-114.44412231445312,10000000.0
0,0,111,0.28,-169.06599985395158,0.8971428571428571,23.061913503899763,-179.07302856445312,-71.042236328125,292.5574035644531,-158.05235290527344,10000000.0
0,0,112,0.28,-181.98795132228307,0.8971428571428571,21.439254988571275,-187.9914093017578,-86.6209716796875,344.6437072753906,-115.92607879638672,10000000.0
0,0,113,0.2857142857142857,-182.78530297415597,0.9428571428571428,24.429796626342846,28.969999313354492,49.27589416503906,14.104463577270508,43.56110382080078,10000000.0
0,0,114,0.3028571428571429,-181.32224012647356,0.8914285714285715,21.24530058290174,-80.33116149902344,-82.8243408203125,355.1539611816406,-110.41814422607422,10000000.0
0,0,115,0.36,-162.5892906297956,0.9028571428571428,22.808682284858378,-134.83348083496094,-80.82041931152344,351.33087158203125,-119.12374877929688,10000000.0
0,0,116,0.3142857142857143,-174.73356194632393,0.9142857142857143,24.53054871517985,24.959999084472656,-68.90130615234375,358.47198486328125,-98.6404800415039,10000000.0
0,0,117,0.32,-179.49960847037178,0.92,25.0415449843569,-178.5802764892578,-29.479875564575195,209.46511840820312,-39.400054931640625,10000000.0
0,0,118,0.2742857142857143,-183.96937744140624,0.9657142857142857,23.956075740173098,-217.99012756347656,-79.88335418701172,347.4199523925781,-143.96678161621094,10000000.0
0,0,119,0.25142857142857145,-127.27527348109653,0.92,15.982599201607606,-76.17818450927734,34.84664535522461,32.384796142578125,31.78185272216797,10000000.0
0,0,120,0.2857142857142857,-170.33491813659668,0.9257142857142857,24.209861614534915,-156.88864135742188,-73.98540496826172,319.1907958984375,-152.72183227539062,10000000.0
0,0,121,0.28,-169.77472843715123,0.8571428571428571,18.529073943341984,-182.73887634277344,-73.63217163085938,299.0675048828125,-121.79857635498047,10000000.0
0,0,122,0.28,-166.72718639918736,0.9028571428571428,24.13248963921233,-205.8717803955078,-77.041748046875,319.36700439453125,-126.3717269897461,10000000.0
0,0,123,0.29714285714285715,-167.57820031847274,0.8857142857142857,21.965002849537594,-341.1769104003906,-80.41241455078125,331.2281494140625,-131.68923950195312,10000000.0
0,0,124,0.33714285714285713,-169.35958535330636,0.9542857142857143,24.24743818317986,-61.545265197753906,-84.27183532714844,337.1091613769531,-134.4700164794922,10000000.0
0,0,125,0.32571428571428573,-178.94815382276263,0.9142857142857143,24.838544490523482,-166.52842712402344,-91.96089172363281,366.3067932128906,-188.6575164794922,10000000.0
0,0,126,0.3314285714285714,-154.52053325653077,0.9085714285714286,18.429895206960225,-294.70074462890625,-86.36729431152344,325.2471618652344,-126.79696655273438,10000000.0
0,0,127,0.36,-172.45867040361676,0.9028571428571428,21.033105422760443,29.469999313354492,-75.09941101074219,351.265869140625,-115.92503356933594,10000000.0
0,0,128,0.30857142857142855,-175.09397239685057,0.9428571428571428,22.924611252426377,-91.49665069580078,-11.926521301269531,221.3537139892578,-16.244701385498047,10000000.0
0,0,129,0.26857142857142857,-186.75261613573346,0.92,22.82111537824138,-74.6837158203125,-83.60502624511719,353.2184143066406,-113.60968017578125,10000000.0
0,0,130,0.36,-145.10451297215053,0.8971428571428571,21.52173095741163,-194.02052307128906,-63.344505310058594,277.3473205566406,-90.92667388916016,10000000.0
0,0,131,0.2914285714285714,-171.05928904942104,0.8971428571428571,23.200838429806172,26.329999923706055,-86.44585418701172,342.4408264160156,-131.01760864257812,10000000.0
0,0,132,0.35428571428571426,-123.16732583182198,0.9257142857142857,18.038260488049964,-93.29241180419922,14.79676628112793,87.78890228271484,13.450743675231934,10000000.0
0,0,133,0.2857142857142857,-155.0762118639265,0.92,18.967997754527854,-151.2774200439453,-86.43017578125,301.1630554199219,-129.97698974609375,10000000.0
0,0,134,0.3142857142857143,-160.87343462807792,0.9085714285714286,22.572040472525654,-43.542625427246094,68.59577941894531,4.058898448944092,59.88212585449219,10000000.0
